#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS: 200  40
# Band-Index    1
   0.11874     -6.357739  0.000  0.782  0.000  0.782
   0.13358     -6.347611  0.000  0.784  0.000  0.784
   0.14842     -6.336302  0.000  0.784  0.000  0.784
   0.16326     -6.323814  0.000  0.784  0.000  0.784
   0.17811     -6.310152  0.000  0.784  0.000  0.784
   0.19295     -6.295320  0.000  0.784  0.000  0.784
   0.20779     -6.279323  0.000  0.784  0.000  0.784
   0.22263     -6.262165  0.000  0.784  0.000  0.784
   0.23747     -6.243852  0.000  0.784  0.000  0.784
   0.25232     -6.224391  0.000  0.784  0.000  0.784
   0.26716     -6.203785  0.000  0.784  0.000  0.784
   0.28200     -6.182042  0.000  0.784  0.000  0.784
   0.29684     -6.159171  0.000  0.784  0.000  0.784
   0.31168     -6.135177  0.000  0.784  0.000  0.784
   0.32653     -6.110069  0.000  0.784  0.000  0.784
   0.34137     -6.083857  0.000  0.784  0.000  0.784
   0.35621     -6.056550  0.000  0.784  0.000  0.784
   0.37105     -6.028157  0.000  0.784  0.000  0.784
   0.38589     -5.998687  0.000  0.784  0.000  0.784
   0.40074     -5.968152  0.000  0.784  0.000  0.784
   0.41558     -5.936561  0.000  0.784  0.000  0.784
   0.43042     -5.903929  0.000  0.784  0.000  0.784
   0.44526     -5.870270  0.000  0.784  0.000  0.784
   0.46010     -5.835594  0.000  0.786  0.000  0.786
   0.47495     -5.799917  0.000  0.786  0.000  0.786
   0.48979     -5.763254  0.000  0.786  0.000  0.786
   0.50463     -5.725619  0.000  0.786  0.000  0.786
   0.51947     -5.687030  0.000  0.786  0.000  0.786
   0.53432     -5.647502  0.000  0.786  0.000  0.786
   0.54916     -5.607053  0.000  0.786  0.000  0.786
   0.56400     -5.565704  0.000  0.786  0.000  0.786
   0.57884     -5.523474  0.000  0.786  0.000  0.786
   0.59368     -5.480383  0.000  0.788  0.000  0.788
   0.60853     -5.436450  0.000  0.788  0.000  0.788
   0.62337     -5.391704  0.000  0.788  0.000  0.788
   0.63821     -5.405602  0.000  0.450  0.000  0.450
   0.65305     -5.480080  0.000  0.448  0.000  0.448
   0.66789     -5.553480  0.000  0.448  0.000  0.448
   0.68274     -5.625778  0.000  0.446  0.000  0.446
   0.69758     -5.696954  0.000  0.446  0.000  0.446
   0.71242     -5.766988  0.000  0.446  0.000  0.446
   0.72726     -5.835863  0.000  0.444  0.000  0.444
   0.74210     -5.903562  0.000  0.444  0.000  0.444
   0.75695     -5.970067  0.000  0.444  0.000  0.444
   0.77179     -6.035366  0.000  0.442  0.000  0.442
   0.78663     -6.099443  0.000  0.442  0.000  0.442
   0.80147     -6.162287  0.000  0.442  0.000  0.442
   0.81632     -6.223883  0.000  0.442  0.000  0.442
   0.83116     -6.284219  0.000  0.440  0.000  0.440
   0.84600     -6.343286  0.000  0.440  0.000  0.440
   0.86084     -6.302542  0.156  0.614  0.000  0.770
   0.87568     -6.175315  0.150  0.620  0.000  0.772
   0.89053     -6.049080  0.146  0.628  0.000  0.772
   0.90537     -5.923906  0.140  0.634  0.000  0.774
   0.92021     -5.799875  0.136  0.642  0.000  0.776
   0.93505     -5.677077  0.130  0.648  0.000  0.778
   0.94989     -5.555602  0.124  0.654  0.000  0.780
   0.96474     -5.435545  0.120  0.662  0.000  0.782
   0.97958     -5.316999  0.114  0.668  0.000  0.784
   0.99442     -5.200072  0.110  0.676  0.000  0.784
   1.00926     -5.084867  0.104  0.682  0.000  0.786
   1.02410     -4.971488  0.100  0.688  0.000  0.788
   1.03895     -4.860048  0.094  0.696  0.000  0.790
   1.05379     -4.750651  0.090  0.702  0.000  0.792
   1.06863     -4.643425  0.084  0.708  0.000  0.794
   1.08347     -4.538495  0.080  0.716  0.000  0.794
   1.09832     -4.435977  0.074  0.722  0.000  0.796
   1.11316     -4.335996  0.070  0.728  0.000  0.798
   1.12800     -4.238673  0.064  0.734  0.000  0.800
   1.14284     -4.144154  0.060  0.742  0.000  0.802
   1.15768     -4.052561  0.056  0.748  0.000  0.802
   1.17253     -3.964019  0.052  0.754  0.000  0.804
   1.18737     -3.878686  0.046  0.760  0.000  0.806
   1.20221     -3.796685  0.042  0.764  0.000  0.808
   1.21705     -3.718156  0.038  0.770  0.000  0.808
   1.23189     -3.643223  0.034  0.776  0.000  0.810
   1.24674     -3.572017  0.030  0.780  0.000  0.812
   1.26158     -3.504683  0.026  0.786  0.000  0.812
   1.27642     -3.441339  0.024  0.790  0.000  0.814
   1.29126     -3.382119  0.020  0.794  0.000  0.814
   1.30610     -3.327136  0.018  0.798  0.000  0.816
